filename,width,height,class,xmin,ymin,xmax,ymax
UNG_937_7.png,861,422,UNG_937,299,239,385,355
UNG_089_2.png,861,422,UNG_089,574,236,662,353
GIL_616_6.png,861,422,GIL_616,599,238,685,355
GVG_099_9.png,861,422,GVG_099,470,236,572,371
GVG_099_8.png,861,422,GVG_099,201,227,304,363
GIL_616_7.png,861,422,GIL_616,299,239,385,355
UNG_089_3.png,861,422,UNG_089,129,59,215,175
UNG_937_6.png,861,422,UNG_937,599,238,685,355
UNG_937_4.png,861,422,UNG_937,421,57,527,193
UNG_089_1.png,861,422,UNG_089,598,50,686,165
GIL_616_5.png,861,422,GIL_616,299,59,386,175
GIL_616_4.png,861,422,GIL_616,421,57,527,193
UNG_089_0.png,861,422,UNG_089,379,194,464,310
UNG_937_5.png,861,422,UNG_937,299,59,386,175
UNG_937_1.png,861,422,UNG_937,598,50,686,165
UNG_089_4.png,861,422,UNG_089,421,57,527,193
GIL_616_0.png,861,422,GIL_616,379,194,464,310
GIL_616_1.png,861,422,GIL_616,598,50,686,165
UNG_089_5.png,861,422,UNG_089,299,59,386,175
UNG_937_0.png,861,422,UNG_937,379,194,464,310
UNG_937_2.png,861,422,UNG_937,574,236,662,353
UNG_089_7.png,861,422,UNG_089,299,239,385,355
GIL_616_3.png,861,422,GIL_616,129,59,215,175
GIL_616_2.png,861,422,GIL_616,574,236,662,353
UNG_089_6.png,861,422,UNG_089,599,238,685,355
UNG_937_3.png,861,422,UNG_937,129,59,215,175
CS2_150_6.png,861,422,CS2_150,599,238,685,355
CS2_150_7.png,861,422,CS2_150,299,239,385,355
CS2_150_5.png,861,422,CS2_150,299,59,386,175
CS2_150_4.png,861,422,CS2_150,421,57,527,193
CS2_150_0.png,861,422,CS2_150,379,194,464,310
CS2_150_1.png,861,422,CS2_150,598,50,686,165
CS2_150_3.png,861,422,CS2_150,129,59,215,175
CS2_150_2.png,861,422,CS2_150,574,236,662,353
CS2_150_9.png,861,422,CS2_150,470,236,572,371
CS2_150_8.png,861,422,CS2_150,201,227,304,363
GVG_099_0.png,861,422,GVG_099,379,194,464,310
GVG_099_1.png,861,422,GVG_099,598,50,686,165
UNG_089_8.png,861,422,UNG_089,201,227,304,363
GVG_099_3.png,861,422,GVG_099,129,59,215,175
GVG_099_2.png,861,422,GVG_099,574,236,662,353
UNG_089_9.png,861,422,UNG_089,470,236,572,371
UNG_937_8.png,861,422,UNG_937,201,227,304,363
GIL_616_9.png,861,422,GIL_616,470,236,572,371
GVG_099_6.png,861,422,GVG_099,599,238,685,355
GVG_099_7.png,861,422,GVG_099,299,239,385,355
GIL_616_8.png,861,422,GIL_616,201,227,304,363
UNG_937_9.png,861,422,UNG_937,470,236,572,371
GVG_099_5.png,861,422,GVG_099,299,59,386,175
GVG_099_4.png,861,422,GVG_099,421,57,527,193
